user_id,age,gender,experience_level,experience_numeric,days_per_week,goal,location,program_id,program_name,program_difficulty,program_days_per_week
1,23,male,beginner,1,3,mass,gym,1,Full Body A,beginner,3
2,30,female,beginner,1,3,weight_loss,gym,11,Full Body Toning A,beginner,3
3,19,male,advanced,3,6,mass,gym,6,PPL A,advanced,6
4,25,female,beginner,1,3,toning,gym,11,Full Body Toning A,beginner,3
5,35,male,intermediate,2,4,strength,gym,10,Powerlifting Basics A,intermediate,3
6,28,female,advanced,3,5,weight_loss,home,18,HIIT Tabata A,advanced,1
7,22,male,beginner,1,3,mass,gym,2,Full Body B,beginner,3
8,27,female,intermediate,2,4,toning,gym,12,Glute Focused Split A,intermediate,4
9,32,male,advanced,3,6,strength,gym,7,PPL B,advanced,6
10,24,female,beginner,1,3,weight_loss,home,19,Pilates Core A,beginner,1
11,29,male,intermediate,2,4,mass,gym,4,Upper Lower A,intermediate,4
12,26,female,advanced,3,5,toning,home,20,Yoga Flow A,beginner,1
13,31,male,beginner,1,3,strength,home,14,Bodyweight Strength A,beginner,3
14,33,female,intermediate,2,4,weight_loss,home,21,Resistance Band A,intermediate,2
15,21,male,advanced,3,6,mass,street,25,Streetlifting A,advanced,1
16,34,female,beginner,1,3,toning,street,22,Outdoor Bodyweight A,beginner,1
17,20,male,intermediate,2,4,strength,home,15,Dumbbell Only A,intermediate,3
18,36,female,advanced,3,5,weight_loss,street,23,Cardio Strength A,intermediate,1
19,37,male,beginner,1,3,mass,street,17,Street Workout Basics A,intermediate,3
20,38,female,intermediate,2,4,toning,street,27,Step Bench A,beginner,1
21,39,male,advanced,3,6,strength,street,26,Pyramid Training A,advanced,1
22,40,female,beginner,1,3,weight_loss,home,30,Barre Workout A,intermediate,1
23,41,male,intermediate,2,4,mass,home,16,HIIT for Men A,advanced,5
24,42,female,advanced,3,5,toning,street,28,Light Calisthenics A,intermediate,1
25,43,male,beginner,1,3,strength,gym,3,Full Body C,beginner,3
26,44,female,intermediate,2,4,weight_loss,gym,13,Upper Lower Women A,intermediate,4
27,45,male,advanced,3,6,mass,gym,8,Bro Split A,advanced,5
28,46,female,beginner,1,3,toning,gym,12,Glute Focused Split A,intermediate,4
29,47,male,intermediate,2,4,strength,gym,9,Bro Split B,advanced,5
30,48,female,advanced,3,5,weight_loss,home,18,HIIT Tabata A,advanced,1
31,49,male,beginner,1,3,mass,gym,1,Full Body A,beginner,3
