user_id,program_id,start_weight_kg,end_weight_kg,goal_achieved,user_rating,comments
1,1,75,78,yes,5,"Great program, gained mass"
2,4,65,62,yes,4,"Lost weight, but exercises were repetitive"
3,6,80,85,yes,5,"Perfect for advanced lifters"
4,2,70,71,no,3,"Good but wanted more variety"
5,5,82,85,yes,5,"Increased all my lifts significantly"
6,7,62,60,yes,4,"Good results, but hard to stick to 5 days"
7,3,73,76,yes,4,"Solid mass builder"
8,4,58,57,no,3,"Results were okay"
9,6,85,90,yes,5,"Amazing strength gains"
10,1,68,65,yes,4,"Good for beginners"
11,5,77,80,yes,4,"Good mass program"
12,8,55,56,no,5,"Loved the body part split"
13,2,79,82,yes,4,"Good strength program"
14,4,63,61,yes,3,"Too many leg days"
15,7,72,76,yes,5,"Excellent mass builder"
16,3,60,61,no,2,"Too intense for a beginner"
17,5,81,84,yes,5,"Perfect for intermediate"
18,6,64,62,yes,4,"Good results"
19,1,71,74,yes,4,"Solid program"
20,4,59,58,no,3,"Okay results"
21,7,83,86,yes,5,"Very good"
22,2,67,64,yes,4,"Good for weight loss"
23,5,74,77,yes,4,"Good mass"
24,9,56,57,no,5,"Great split program"
25,3,78,80,yes,3,"Okay but tough"
26,4,62,60,yes,4,"Lost weight consistently"
27,6,82,87,yes,5,"Best program for mass"
28,1,69,66,yes,4,"Good beginner program"
29,5,76,79,yes,4,"Solid strength gains"
30,7,61,59,yes,4,"Good for cutting"
31,2,71,73,no,3,"Not enough volume"
32,4,57,56,no,3,"Maintained weight"
33,6,84,89,yes,5,"Perfect for advanced"
34,3,64,62,yes,3,"Too difficult for beginner"
35,5,73,76,yes,4,"Good intermediate program"
36,9,54,55,no,4,"Enjoyed the variety"
37,1,70,72,no,4,"Good foundation"
38,4,60,58,yes,4,"Effective for weight loss"
39,7,79,83,yes,5,"Amazing results"
40,2,66,64,yes,3,"Decent program"
41,5,75,78,yes,4,"Good strength program"
42,6,63,61,yes,4,"Good for maintenance"
43,3,77,79,no,3,"Too intense"
44,4,61,59,yes,4,"Good results"
45,6,83,88,yes,5,"Excellent program"
46,1,67,64,yes,4,"Good for beginners"
47,5,72,75,yes,4,"Solid gains"
48,8,56,57,no,4,"Good variety"
49,2,68,70,no,3,"Wanted more progress"
50,4,59,57,yes,4,"Good weight loss"
51,7,78,82,yes,5,"Perfect for mass"
52,3,62,61,no,2,"Too advanced"
53,5,74,77,yes,4,"Good program"
54,6,65,63,yes,4,"Effective"
55,1,69,71,no,4,"Good start"
56,4,58,56,yes,4,"Works well"
57,6,81,86,yes,5,"Best program"
58,2,64,62,yes,3,"Okay program"
59,5,73,76,yes,4,"Good gains"
60,9,55,56,no,4,"Enjoyed it"
61,3,76,78,no,3,"Too hard"
62,4,60,58,yes,4,"Good results"
63,7,77,81,yes,5,"Excellent"
64,1,66,64,yes,4,"Good beginner"
65,5,71,74,yes,4,"Solid program"
66,6,62,60,yes,4,"Works well"
67,2,69,71,no,3,"Not bad"
68,4,57,55,yes,4,"Good for weight loss"
69,7,75,79,yes,5,"Amazing"
70,3,63,62,no,2,"Too much"
71,5,70,73,yes,4,"Good program"
72,8,54,55,no,4,"Nice variety"
73,1,68,70,no,4,"Good foundation"
74,4,59,57,yes,4,"Effective"
75,6,80,85,yes,5,"Perfect"
76,2,65,63,yes,3,"Decent"
77,5,72,75,yes,4,"Good gains"
78,7,61,59,yes,4,"Works well"
79,3,74,76,no,3,"Too intense"
80,4,58,56,yes,4,"Good results"
81,6,79,84,yes,5,"Excellent"
82,1,67,64,yes,4,"Good beginner"
83,5,73,76,yes,4,"Solid"
84,9,55,56,no,4,"Enjoyed"
85,2,68,70,no,3,"Okay"
86,4,60,58,yes,4,"Good"
87,7,76,80,yes,5,"Best ever"
88,3,62,61,no,2,"Too hard"
89,5,71,74,yes,4,"Good program"
90,6,63,61,yes,4,"Effective"
91,1,69,71,no,4,"Good start"
92,4,57,55,yes,4,"Works well"
93,6,82,87,yes,5,"Perfect"
94,2,64,62,yes,3,"Decent"
95,5,74,77,yes,4,"Good"
96,8,55,56,no,4,"Nice"
97,3,75,77,no,3,"Tough"
98,4,59,57,yes,4,"Good"
99,7,78,82,yes,5,"Amazing"
100,1,68,65,yes,4,"Good for beginners"
